hour,column,missing_count,total_rows,missing_rate,missing_percent
19,t1h,148951.0,4819500.0,0.030905903101981533,3.090590310198153
20,t1h,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
21,t1h,40901.0,4605300.0,0.008881288949688402,0.8881288949688402
22,t1h,40901.0,4605300.0,0.008881288949688402,0.8881288949688402
23,t1h,40901.0,4605300.0,0.008881288949688402,0.8881288949688402
0,uuu,40598.0,4605300.0,0.008815495190324192,0.8815495190324192
1,uuu,253066.0,4605300.0,0.054951034677436866,5.495103467743687
2,uuu,39564.0,4498200.0,0.008795518207282913,0.8795518207282913
3,uuu,41464.0,4712400.0,0.008798913504795858,0.8798913504795858
4,uuu,41464.0,4712400.0,0.008798913504795858,0.8798913504795858
5,uuu,41464.0,4712400.0,0.008798913504795858,0.8798913504795858
6,uuu,41464.0,4712400.0,0.008798913504795858,0.8798913504795858
7,uuu,44505.0,4712400.0,0.009444232238349885,0.9444232238349886
8,uuu,41548.0,4712400.0,0.008816738816738817,0.8816738816738816
9,uuu,41548.0,4712400.0,0.008816738816738817,0.8816738816738816
10,uuu,41548.0,4712400.0,0.008816738816738817,0.8816738816738816
11,uuu,41548.0,4712400.0,0.008816738816738817,0.8816738816738816
12,uuu,43364.0,4926600.0,0.008802013559046806,0.8802013559046806
13,uuu,43364.0,4926600.0,0.008802013559046806,0.8802013559046806
14,uuu,42498.0,4819500.0,0.008817927170868347,0.8817927170868347
15,uuu,42498.0,4819500.0,0.008817927170868347,0.8817927170868347
16,uuu,44398.0,5033700.0,0.008820152174344915,0.8820152174344915
17,uuu,43448.0,4926600.0,0.008819063857427029,0.8819063857427029
18,uuu,42498.0,4819500.0,0.008817927170868347,0.8817927170868347
19,uuu,148648.0,4819500.0,0.030843033509700177,3.0843033509700177
20,uuu,41548.0,4712400.0,0.008816738816738817,0.8816738816738816
21,uuu,40598.0,4605300.0,0.008815495190324192,0.8815495190324192
22,uuu,40598.0,4605300.0,0.008815495190324192,0.8815495190324192
23,uuu,40598.0,4605300.0,0.008815495190324192,0.8815495190324192
0,vec,40901.0,4605300.0,0.008881288949688402,0.8881288949688402
1,vec,253167.0,4605300.0,0.05497296593055827,5.497296593055827
2,vec,39968.0,4498200.0,0.008885331910541994,0.8885331910541994
3,vec,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
4,vec,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
5,vec,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
6,vec,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
7,vec,44808.0,4712400.0,0.009508530685001274,0.9508530685001274
8,vec,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
9,vec,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
10,vec,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
11,vec,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
12,vec,43768.0,4926600.0,0.008884017375065969,0.8884017375065969
13,vec,43768.0,4926600.0,0.008884017375065969,0.8884017375065969
14,vec,42801.0,4819500.0,0.008880796763149705,0.8880796763149704
15,vec,42801.0,4819500.0,0.008880796763149705,0.8880796763149704
16,vec,44701.0,5033700.0,0.008880346464827065,0.8880346464827065
17,vec,43751.0,4926600.0,0.0088805667194414,0.88805667194414
18,vec,42801.0,4819500.0,0.008880796763149705,0.8880796763149704
19,vec,148951.0,4819500.0,0.030905903101981533,3.090590310198153
20,vec,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
21,vec,40901.0,4605300.0,0.008881288949688402,0.8881288949688402
